Country;Region;Sub Region;Road Maintenance;Road Network;Net Energy Imports;Access to Electricity;Quality of Electricity Supply;Employment to Population Ratio;Labor Productivity per Person Employed;HDI ;Population Growth ;Civil Liberty and Political Freedom;Youth Unemployment;Media Freedom;Corruption Perceptions Index ;Proximity to conflict ;Unweighted Rank of Political Variables; Journal Articles 2013; Journal Articles per capita;FDI inflows ;Domestic RnD Expenditure ;Payments for IP use;Charges for IP use;Net Charges for IP use;Hi Tech Exports ;GDP Growth;GDP Growth per capita;Population;GDP
Indicator;Indicator;Indicator;Euro;km;%;%;Rank;%;$ (USA);Index;%;Index;%;Index;#;Boolean;Rank;Number;%;%;%;$ (USD);$ (USD);$ (USD);%;%;%;;
Afghanistan;South Asia;South Asia;;42150.00;;90.88;;;;0.32;2.80;6.00;20.80;62.00;11.00;1.00;5.00;26.50;0.00;1.23;;90854.71;466203.57;0.00;;1.31;-1.71;;
Albania *;Europe and Central Asia;Balkans;15262703.00;18000.00;12.28;100.00;1.50;46.29;;0.63;-0.20;3.00;29.20;51.00;36.00;;1.00;183.60;0.00;34.10;0.15;21801849.40;750876.15;-23.00;1.50;1.80;1.91;;
Algeria;Middle East and North Africa;North Africa;;113655.00;-189.35;43.00;4.20;40.00;54170.00;;1.90;5.50;20.00;62.00;36.00;1.00;3.00;3652.50;;1.92;0.07;144049903.96;413353.62;-245.00;0.20;3.80;1.81;;
Andorra *;Europe and Central Asia;Southern Europe;;320.00;;100.00;;;;;-3.20;1.00;2.90;13.00;50.00;;0.00;5.90;0.00;;;;;;;;;;
Angola;Africa (Sub Saharan Africa);Central Africa;;51429.00;-538.27;86.28;2.20;65.30;32350.00;0.34;3.20;5.50;10.50;71.00;15.00;;3.00;22.60;0.00;9.88;;252852819.11;21944072.22;-248.00;;4.80;1.43;;
Antigua and Barbuda *;Latin America and Caribbean;Caribbean;;1170.00;;97.70;;;;;1.00;2.00;40.00;35.00;25.00;;0.00;1.90;0.00;49.48;;;;;0.00;4.60;3.55;;
Argentina *;Latin America and Caribbean;South America;;231374.00;11.38;100.00;4.00;55.90;;0.71;1.00;2.00;21.30;50.00;32.00;;1.00;8053.10;0.00;5.43;0.61;2011801201.53;207996623.66;-1738.00;9.00;-2.56;0.69;;
Armenia;Europe and Central Asia;South Asia;;7792.00;72.05;59.33;4.10;52.90;;0.66;0.40;4.50;35.10;63.00;35.00;;1.00;558.50;0.00;17.32;0.24;;;;5.30;3.60;-3.56;;
Aruba;Latin America and Caribbean;Caribbean;;;;90.88;;;;;0.40;2.00;23.50;11.00;20.00;;0.00;;;;;10893854.75;;;4.70;;3.12;;
Australia *;East Asia and Pacific;Oceania;1930698652.00;823217.00;-184.96;100.00;6.00;61.20;97018.00;0.86;1.30;1.00;13.10;23.00;79.00;;0.00;47805.70;0.00;10.24;2.20;3995557337.60;854333074.04;-2742.00;13.50;2.50;0.99;;
Austria *;Europe and Central Asia;Central Europe;667000000.00;133597.00;62.37;100.00;6.60;57.90;93363.00;0.82;0.80;1.00;9.20;23.00;76.00;;0.00;12031.30;0.00;9.53;2.99;1776460604.53;1155076151.22;-578.00;13.40;0.64;-0.09;;
Azerbaijan;Europe and Central Asia;South Asia;;52942.00;-327.60;100.00;3.90;63.20;;0.65;1.20;6.00;13.60;89.00;29.00;;2.00;481.80;0.00;25.12;0.21;;;-28.00;2.50;2.00;0.73;;
Bahamas  The *;Latin America and Caribbean;Caribbean;;2700.00;;6.50;;62.70;;;1.30;1.00;30.10;22.00;67.12;;1.00;15.80;0.00;67.75;;19514760.92;;;0.00;-0.52;-1.88;;
Bahrain;Middle East and North Africa;Middle East;;4122.00;-60.60;100.00;5.40;67.19;;;1.10;6.50;10.90;87.00;51.00;;1.00;209.70;0.00;29.37;0.10;;;;1.00;4.35;3.39;;
Bangladesh *;Europe and Central Asia;South Asia;;21269.00;15.18;38.40;1.60;67.80;7549.00;0.40;1.20;4.00;9.10;61.00;25.00;;1.00;1970.60;0.00;2.93;;30127601.64;914912.23;-23.00;;6.06;4.78;;
Barbados *;Latin America and Caribbean;Caribbean;;1600.00;;13.10;6.10;62.59;;;0.30;1.00;26.80;18.00;66.90;;1.00;39.10;0.00;87.19;;;;21.00;18.30;0.20;-0.11;;
Belarus;Europe and Central Asia;Eastern Europe;;86392.00;85.39;59.60;;52.90;;0.74;0.30;6.50;12.00;91.00;32.00;;1.00;1000.60;0.00;7.49;0.67;237300000.00;39100000.00;-107.00;4.30;1.72;1.54;;
Belgium *;Europe and Central Asia;Western Europe;;154012.00;76.39;100.00;6.60;48.79;106541.00;0.82;0.50;1.00;23.60;11.00;77.00;;1.00;16511.30;0.00;-7.02;2.46;3399358784.00;3373584852.07;-137.00;13.00;1.65;1.22;;
Belize *;Latin America and Caribbean;Central America;;2870.00;;97.70;;58.20;;0.55;2.10;1.50;22.00;22.00;35.60;;2.00;9.60;0.00;55.71;;4847919.58;;;0.00;4.08;1.86;;
Benin *;Africa (Sub Saharan Africa);West Africa;;16000.00;45.07;100.00;2.80;72.19;;0.30;2.60;2.00;1.70;38.00;37.00;;1.00;187.10;0.00;17.29;;2252116.35;7847.66;-2.00;0.90;6.36;3.59;;
Bermuda;The Americas;North America;;447.00;;100.00;;;;;1.00;2.00;10.80;70.00;7.00;;0.00;;;-0.56;0.22;11255923.91;8918.87;-9.00;26.80;;;;
Bhutan *;Europe and Central Asia;South Asia;;10578.00;;100.00;;70.69;;0.43;1.30;3.50;10.00;58.00;65.00;;0.00;28.60;0.00;2.91;;665037.98;6408.72;0.00;0.00;5.75;4.31;;
Bolivia *;Latin America and Caribbean;South America;;80488.00;-168.37;100.00;3.90;70.59;;0.47;1.50;3.00;5.20;49.00;34.00;;0.00;89.40;0.00;9.29;0.16;68285439.41;18938481.88;-62.00;6.50;5.46;3.84;;
Bosnia and Herzegovina;Europe and Central Asia;Balkans;;22926.00;28.46;100.00;4.10;32.70;;0.64;-0.20;3.50;57.50;50.00;38.00;;1.00;437.30;0.00;15.19;0.26;6923384.87;13375078.41;3.00;2.80;1.08;1.24;;
Botswana *;Africa (Sub Saharan Africa);Southern Africa;;17916.00;44.19;90.50;4.90;62.79;;0.43;1.90;2.50;33.90;45.00;63.00;;1.00;165.30;0.00;10.97;0.25;9090260.89;187463.38;-8.00;0.60;3.20;1.19;;
Brazil *;Latin America and Caribbean;South America;;1580964.00;13.88;99.50;5.00;65.00;;0.56;0.90;2.00;15.20;46.00;38.00;;0.00;48622.20;0.00;14.88;1.24;5922655346.91;375097938.44;56.00;12.30;0.10;-0.78;;
Brunei Darussalam;East Asia and Pacific;East Asia;;3029.00;-458.37;76.16;;61.29;;;1.40;5.50;11.10;76.00;60.00;;1.00;120.20;0.00;12.18;;;;;17.90;-2.35;-3.73;;
Bulgaria *;Europe and Central Asia;Balkans;92545250.00;19512.00;37.16;75.56;4.00;47.20;;0.70;-0.60;2.00;25.90;40.00;41.00;;1.00;2677.30;0.00;14.84;0.80;229820000.00;32710000.00;-135.00;7.60;1.33;1.91;;
Burkina Faso;Africa (Sub Saharan Africa);West Africa;;15272.00;;53.24;3.10;80.69;4461.00;0.26;2.90;4.50;5.00;41.00;38.00;1.00;2.00;177.00;0.00;14.45;0.20;250801.48;839375.91;1.00;5.00;4.03;1.05;;
Burundi;Africa (Sub Saharan Africa);East Africa;;12322.00;;10.80;1.80;77.00;;0.27;3.30;5.50;10.70;80.00;21.00;1.00;4.00;16.30;0.00;10.25;0.12;186721.72;29676.34;0.00;3.50;4.66;1.27;;
Cape Verde *;Africa (Sub Saharan Africa);West Africa;;1350.00;;100.00;;61.59;;0.42;1.30;1.00;18.80;27.00;55.00;;0.00;8.00;0.00;19.36;0.07;4791301.58;;-8.00;0.00;1.86;0.55;;
Cambodia;East Asia and Pacific;South Asia;;44709.00;31.59;100.00;2.40;;5605.00;0.34;1.60;5.50;0.90;69.00;21.00;;2.00;84.00;0.00;46.18;;20506256.61;2658758.09;-18.00;0.80;7.07;5.33;;
Cameroon;Africa (Sub Saharan Africa);Central Africa;;51350.00;-22.41;100.00;2.70;67.30;6867.00;0.83;2.50;6.00;6.70;65.00;27.00;1.00;3.00;526.80;0.00;8.06;;;;-8.00;3.70;5.93;3.31;;
Canada *;The Americas;North America;;1042300.00;-77.57;100.00;6.40;;87760.00;0.52;0.90;1.00;13.40;18.00;83.00;;0.00;57796.70;0.00;13.78;1.61;11074310661.69;4325632819.57;-5258.00;13.80;2.47;1.35;;
Cayman Islands;Latin America and Caribbean;Caribbean;;785.00;;100.00;;;;;1.30;2.00;13.50;50.00;50.00;;0.00;;;;;;;;;;;;
Central African Republic;Africa (Sub Saharan Africa);Central Africa;;20278.00;;55.80;;72.90;;0.20;2.00;7.00;11.90;71.00;24.00;;3.00;11.80;0.00;1.98;;;;;0.00;1.04;-0.93;;
